user_id,conv_style,conv_dominant_topic,topic_soporte_general,topic_tarjetas_fisicas,topic_credito_plazos,topic_gestion_cuenta,topic_escalacion_humano,topic_solicitud_credito,topic_canales_atencion,topic_cancelaciones,topic_productos_hey,topic_credito_auto,topic_cargos_disputas,topic_transferencias_app,conv_n_conversations,conv_n_interactions,conv_pct_voz
USR-00001,Goal-driven,tarjetas_fisicas,0.0,0.9151217851219519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01112469135694312,0.0,0.07375351650407717,1,3,0.0
USR-00002,Support-seeking,escalacion_humano,0.0,0.024233768502528685,0.0,0.0,0.944920799023499,0.020326766697930276,0.010518654121043407,0.0,0.0,0.0,0.0,0.0,1,3,0.0
USR-00003,Goal-driven,solicitud_credito,0.006646018299534681,0.0,0.03877681857850072,0.0,0.023242915922875942,0.8858244926161527,0.00630464135625219,0.0057627906120194155,0.0,0.0,0.007338472086786126,0.026103837062319928,1,3,0.0
USR-00004,Goal-driven,tarjetas_fisicas,0.0,0.4356526690361705,0.0,0.34762134646904697,0.0,0.0,0.0,0.0,0.0,0.0,0.21672597919926304,0.0,1,3,0.0
USR-00005,Support-seeking,escalacion_humano,0.0,0.29266176082823614,0.0,0.0,0.7073382289112318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0.0
USR-00006,Goal-driven,credito_plazos,0.02293481866682012,0.1818034885418504,0.48342083506727174,0.0,0.0,0.0,0.0,0.08928425681467465,0.012189530312277609,0.014390314348176558,0.19597670708878295,0.0,1,1,0.0
USR-00007,Goal-driven,cancelaciones,0.022710664180729534,0.0,0.10842047626801325,0.0,0.0,0.042908706129517964,0.027923098169396678,0.3537049879239475,0.04274636672116409,0.06284539849286676,0.0983419157073348,0.24039835776096782,1,1,0.0
USR-00008,Goal-driven,gestion_cuenta,0.0,0.04840854022929635,0.0,0.7827427495133279,0.0,0.0,0.0,0.0,0.006112010420514457,0.0,0.0,0.16273669597526977,2,2,0.0
USR-00009,Passive,transferencias_app,0.010851729131226657,0.03170176487889293,0.24139712441829086,0.0,0.0,0.11554283224588606,0.042319316869819636,0.0,0.005940219955934624,0.010810080201900848,0.22826837409733025,0.31316854656472504,1,3,1.0
USR-00010,Goal-driven,gestion_cuenta,0.007098948707985676,0.0,0.03537507403602939,0.6821990311157968,0.0,0.02808365758622206,0.018441912044684722,0.1368500061595903,0.0,0.005385759456585159,0.08656559804979903,0.0,2,2,0.0
USR-00011,Support-seeking,cargos_disputas,0.02740048777821448,0.0,0.10786247371420775,0.0,0.018525340455386397,0.022157776879170397,0.02576919221104455,0.1884167842598861,0.0246613230852493,0.01565417454269165,0.3378341806108299,0.23171823636354047,1,3,0.0
USR-00012,Goal-driven,tarjetas_fisicas,0.0,0.8470847257202903,0.1069079262216306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04600733946514009,1,1,0.0
USR-00013,Goal-driven,solicitud_credito,0.0,0.0,0.0,0.0,0.0,0.9971847815629618,0.0,0.0,0.0028152117605656918,0.0,0.0,0.0,2,2,0.0
USR-00014,Support-seeking,escalacion_humano,0.008109804082437517,0.1553119339988844,0.0,0.0,0.3964043065035177,0.02605889000987436,0.007206514454882881,0.0037981994814275813,0.0,0.01333275621966114,0.38977758728075707,0.0,2,5,0.0
USR-00015,Goal-driven,tarjetas_fisicas,0.04601305848440485,0.3393544430409714,0.02657804013516985,0.0,0.041059190818978145,0.0,0.0020363020420816518,0.016600282989422226,0.19826911701896532,0.05236114951570185,0.09231545565659816,0.18541295608848538,9,20,0.0
USR-00016,Passive,transferencias_app,0.0,0.0,0.0,0.21890660961216044,0.29038659782064263,0.0,0.0,0.0,0.0,0.0,0.138671586017139,0.35203518084851365,1,1,0.0
USR-00017,Goal-driven,credito_plazos,0.0,0.0,0.5914487664062963,0.0,0.004068040039184553,0.0,0.0,0.0,0.0,0.0,0.4044831832081389,0.0,1,3,0.0
USR-00018,Goal-driven,credito_auto,0.010837669408819946,0.0,0.06033733764391048,0.0,0.013844369849688145,0.13996481551955764,0.02040360414364261,0.0,0.0,0.5811933749004096,0.07995962760020567,0.09345919154804277,1,3,0.0
USR-00019,Goal-driven,tarjetas_fisicas,0.0031577951832179258,0.7410754380024264,0.016295633305205115,0.0,0.0,0.00824949090052829,0.006592573212559066,0.07649199888804187,0.037391149386470694,0.07515183243504313,0.0,0.03559408250425647,1,3,0.0
USR-00020,Support-seeking,canales_atencion,0.0013670461667563622,0.0,0.0,0.0,0.00304361416806553,0.055407816897646636,0.8975398788040503,0.0,0.0001666232112128212,0.02543997103714898,0.0,0.01703503666955927,2,2,0.0
USR-00021,Goal-driven,credito_plazos,0.015595209552365392,0.04872529002647994,0.33100835695189007,0.0,0.08522725881567997,0.0,0.004066085466390509,0.30118342239565404,0.033949240305091215,0.008375042219579123,0.1718700580524559,0.0,1,1,0.0
